SILLY_VIAL	YEAR	STAT_WEEK	DISTRICT	SUBDISTRICT	AGE_EUROPEAN	SOURCE	SILLY_CODE	real_age
FAKE_KLSAL10_40	2023	1	1	1	23	WILD	Canada	23
FAKE_KLSAL10_63	2023	2	1	1	23	WILD	Canada	23
FAKE_KLSAL10_77	2023	1	1	1	NA	WILD	Canada	22
FAKE_KMAYO03_10	2023	2	1	1	22	WILD	Canada	22
FAKE_KMAYO03j_37	2023	1	1	1	NA	WILD	Canada	22
FAKE_KMAYO97_25	2023	2	1	1	21	WILD	Canada	21
FAKE_KMCQUE11_13	2023	2	1	1	23	WILD	Canada	23
FAKE_KMCQUE11_18	2023	2	1	1	NA	WILD	Canada	23
FAKE_KMCQUE11_28	2023	2	1	1	NA	WILD	Canada	22
FAKE_KMCQUE11_35	2023	2	1	1	23	WILD	Canada	23
FAKE_KMCQUE12_2	2023	1	1	1	22	WILD	Canada	22
FAKE_KMCQUE12_8	2023	2	1	1	22	WILD	Canada	22
FAKE_KMINT07_1	2023	1	1	1	22	WILD	Canada	22
FAKE_KMINT07_8	2023	2	1	1	23	WILD	Canada	23
FAKE_KMINT07_64	2023	1	1	1	21	WILD	Canada	21
FAKE_KMORE16_723	2023	2	1	1	NA	WILD	Canada	22
FAKE_KMORL17_403	2023	2	1	1	23	WILD	Canada	23
FAKE_KMORL17_419	2023	1	1	1	NA	WILD	Canada	23
FAKE_KNBIGS16_21	2023	1	1	1	23	WILD	Canada	23
FAKE_KNBIGS16_24	2023	1	1	1	22	WILD	Canada	22
FAKE_KNISU97_36	2023	1	1	1	23	WILD	Canada	23
FAKE_KNISUR14_8	2023	1	1	1	22	WILD	Canada	22
FAKE_KNISUR16_420	2023	2	1	1	NA	WILD	Canada	23
FAKE_KNISUR16_435	2023	2	1	1	22	WILD	Canada	22
FAKE_KNORD03_6	2023	1	1	1	23	WILD	Canada	23
FAKE_KNORD16_574	2023	2	1	1	23	WILD	Canada	23
FAKE_KPELL14_48	2023	2	1	1	23	WILD	Canada	23
FAKE_KPORCUP07_34	2023	2	1	1	NA	WILD	Canada	22
FAKE_KROSS15_2	2023	2	1	1	23	WILD	Canada	23
FAKE_KROSS15_14	2023	2	1	1	23	WILD	Canada	23
FAKE_KROSS15_35	2023	1	1	1	NA	WILD	Canada	23
FAKE_KROSS15_40	2023	2	1	1	23	WILD	Canada	23
FAKE_KROSS15_41	2023	1	1	1	22	WILD	Canada	22
FAKE_KSTEW06_26	2023	1	1	1	23	WILD	Canada	23
FAKE_KSTEW97_39	2023	2	1	1	22	WILD	Canada	22
FAKE_KTAKH03_1	2023	1	1	1	22	WILD	Canada	22
FAKE_KTAKH03_18	2023	2	1	1	NA	WILD	Canada	23
FAKE_KTATC03_1	2023	1	1	1	NA	WILD	Canada	22
FAKE_KTATC87_1	2023	1	1	1	22	WILD	Canada	22
FAKE_KTATC97_9	2023	1	1	1	22	WILD	Canada	22
FAKE_KTESL10_39	2023	2	1	1	23	WILD	Canada	23
FAKE_KTESLIN06_18	2023	2	1	1	22	WILD	Canada	22
FAKE_KTESLIN06_74	2023	2	1	1	23	WILD	Canada	23
FAKE_KTINC09_22	2023	1	1	1	22	WILD	Canada	22
FAKE_KTINC11_4	2023	1	1	1	23	WILD	Canada	23
FAKE_KWHITE85_15	2023	1	1	1	22	WILD	Canada	22
FAKE_KWHITERAPIDS10_19	2023	2	1	1	22	WILD	Canada	22
